item,price,store,date,source_image
GREEN OR RED SEEDLESS GRAPES,2.44,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340211/1756849514/extra_large.jpg
"PC® LIVE LETTUCE, 1 CT",2,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298645/1756827376/extra_large.jpg
"COUNTRY HARVEST BREAD, 600 G",2.98,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340233/1756849204/extra_large.jpg
CANTALOUPE,2.49,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298851/1756849558/extra_large.jpg
"TAYLOR FARMS CHOPPED SALAD KITS, 267-383 G",4.44,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298855/1756849561/extra_large.jpg
"NO NAME® OLD FASHIONED PANCAKE MIX 905 G , SEAQUEST® CRAB OR LOBSTER FLAVOURED FLAKES READY TO EAT 227 G OR FROZEN TUNA STEAK 92 G OR NO NAME® CANNED FRUIT, 796 ML",3,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298621/1756827367/extra_large.jpg
HÄAGEN-DAZS ICE CREAM 400-450 ML OR NOVELTIES 3' S,4.94,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298741/1756827378/extra_large.jpg
"KRAFT PEANUT BUTTER OR HAZELNUT SPREAD, 725 G-1 KG",4.97,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298723/1756827379/extra_large.jpg
"KELLOGG'S EGGO WAFFLES, 270-280 G",2.94,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340257/1756849209/extra_large.jpg
"ROGERS GRANULATED SUGAR, 10 KG",12.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340214/1756849514/extra_large.jpg
"PC® CHICKEN THIGHS, DRUMSTICKS OR BREAST FILLETS, UP TO 870 G",13,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298661/1756827371/extra_large.jpg
WILD SOCKEYE SALMON FILLETS,16,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298670/1756827378/extra_large.jpg
"PC® BLUE MENU® OR FREE & CLEAR® SPARKLING WATER 1 L OR TIM HORTONS TOMATO, CHICKEN NOODLE OR VEGETABLE CONDENSED SOUP, 284 ML",1,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298619/1756827366/extra_large.jpg
"NESCAFÉ RICH INSTANT COFFEE, 475 G OR CARNATION HOT CHOCOLATE, 1.7 KG",16.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298707/1756827378/extra_large.jpg
"WONDER BREAD, 570 G OR BUNS, 12'S",5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298655/1756827373/extra_large.jpg
"HEINZ KETCHUP, 2X1.25 L",10.49,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298701/1756827374/extra_large.jpg
"PC® LITTLE GEMS™ MIXED, RUBY OR YELLOW MINI POTATOES, 680 G",3.5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298853/1756849560/extra_large.jpg
"FARMER'S MARKET™ SWEET PEPPERS, 6'S",6,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298627/1756827367/extra_large.jpg
"PARKAY MARGARINE, 1.28-1.36 KG",5.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298681/1756827369/extra_large.jpg
"WILD SMOKED SOCKEYE SALMON, WILD PINK SALMON, SOLE, COD, BASA OR POLLOCK FILLETS, BREADED SQUID, POPCORN SHRIMP, IMITATION CRABMEAT OR SEAFOOD MEDLEY, 200-908 G",10,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298814/1756849540/extra_large.jpg
"PC® CHICKEN BREASTS, 3'S, UP TO 630 G",16,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298676/1756827381/extra_large.jpg
"PAMPERS SUPER BIG PACK DIAPERS, 32-120'S",24.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298966/1756827376/extra_large.jpg
"LISTERINE MOUTHWASH, 1 L OR KIDS SMART RINSE, 500 ML",4.96,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298942/1756827378/extra_large.jpg
"AVOCADOS, 6' S",5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298636/1756827370/extra_large.jpg
"INTERNATIONAL DELIGHT COFFEE ENHANCER, 1.42 L",7,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298682/1756827369/extra_large.jpg
"BLUE GRAPES, 2 L",5.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298633/1756827367/extra_large.jpg
"CRACKER BARREL BARS, 400 G OR SHREDDED, 320 G CHEESE",5.97,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340258/1756849210/extra_large.jpg
"COCA-COLA OR CANADA DRY SOFT DRINKS, 8X300 ML",6.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340216/1756849201/extra_large.jpg
"HUGGIES 16X BABY WIPES, 960-1152'S",23.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298977/1756827375/extra_large.jpg
